H1,H2,H3,Syntax,Description,Doc,Method,Endpoint
Account Management,Account,Deletecollection,pvw account deleteCollection --collectionName=<val>,Delete account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/deletecollection,DELETE,https://{accountName}.purview.azure.com/account/api/deleteCollection
Account Management,Account,Deleteresourcesetrule,pvw account deleteResourceSetRule,Delete account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/deleteresourcesetrule,DELETE,https://{accountName}.purview.azure.com/account/api/deleteResourceSetRule
Account Management,Account,Getaccesskeys,pvw account getAccessKeys,Get account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/getaccesskeys,GET,https://{accountName}.purview.azure.com/account/api/getAccessKeys
Account Management,Account,Getaccount,pvw account getAccount,Get account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/getaccount,GET,https://{accountName}.purview.azure.com/account/api/getAccount
Account Management,Account,Getchildcollectionnames,pvw account getChildCollectionNames --collectionName=<val>,Get account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/getchildcollectionnames,GET,https://{accountName}.purview.azure.com/account/api/getChildCollectionNames
Account Management,Account,Getcollection,pvw account getCollection --collectionName=<val>,Get account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/getcollection,GET,https://{accountName}.purview.azure.com/account/api/getCollection
Account Management,Account,Getcollectionpath,pvw account getCollectionPath --collectionName=<val>,Get account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/getcollectionpath,GET,https://{accountName}.purview.azure.com/account/api/getCollectionPath
Account Management,Account,Getcollections,pvw account getCollections,Get account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/getcollections,GET,https://{accountName}.purview.azure.com/account/api/getCollections
Account Management,Account,Getresourcesetrule,pvw account getResourceSetRule,Get account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/getresourcesetrule,GET,https://{accountName}.purview.azure.com/account/api/getResourceSetRule
Account Management,Account,Getresourcesetrules,pvw account getResourceSetRules,Get account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/getresourcesetrules,GET,https://{accountName}.purview.azure.com/account/api/getResourceSetRules
Account Management,Account,Putcollection,pvw account putCollection --friendlyName=<val> --parentCollection=<val>,Create or update account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/putcollection,PUT,https://{accountName}.purview.azure.com/account/api/putCollection
Account Management,Account,Putresourcesetrule,pvw account putResourceSetRule --payloadFile=<val>,Create or update account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/putresourcesetrule,PUT,https://{accountName}.purview.azure.com/account/api/putResourceSetRule
Account Management,Account,Regenerateaccesskeys,pvw account regenerateAccessKeys --keyType=<val>,Regenerate account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/regenerateaccesskeys,POST,https://{accountName}.purview.azure.com/account/api/regenerateAccessKeys
Account Management,Account,Updateaccount,pvw account updateAccount --friendlyName=<val>,Update an existing account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/updateaccount,PUT,https://{accountName}.purview.azure.com/account/api/updateAccount
Catalog Data Plane,Entity,Addlabels,pvw entity addLabels --guid=<val> --payloadFile=<val>,Add Labels for entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/addlabels,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/labels
Catalog Data Plane,Entity,Addlabelsbyuniqueattribute,pvw entity addLabelsByUniqueAttribute --typeName=<val> --qualifiedName=<val> --payloadFile=<val>,Add LabelsByUniqueAttribute for entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/addlabelsbyuniqueattribute,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/uniqueAttribute
Catalog Data Plane,Entity,Addorupdatebusinessattribute,pvw entity addOrUpdateBusinessAttribute --guid=<val> --bmName=<val> --payloadFile=<val>,Add OrUpdateBusinessAttribute for entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/addorupdatebusinessattribute,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/addOrUpdateBusinessAttribute
Catalog Data Plane,Entity,Addorupdatebusinessmetadata,pvw entity addOrUpdateBusinessMetadata --guid=<val> --payloadFile=<val> [--isOverwrite],Add OrUpdateBusinessMetadata for entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/addorupdatebusinessmetadata,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/businessmetadata
Catalog Data Plane,Entity,Changecollection,pvw entity changeCollection --collection=<val> --payloadFile=<val>,Perform operation on entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/changecollection,GET,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/changeCollection
Catalog Data Plane,Entity,Create,pvw entity create --payloadFile=<val>,Create a new entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/create,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/create
Catalog Data Plane,Entity,Createbulk,pvw entity createBulk --payloadFile=<val>,Create a new entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/createbulk,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/bulk
