name,description,status,acronyms,owner_ids,experts,synonyms,parent_term_name,related_terms,resource_name,resource_url,customAttributes.DataGovernance.Classification,customAttributes.DataGovernance.Tags,customAttributes.Compliance.Regulations,customAttributes.Technical.Systems,customAttributes.Metadata.Keywords
Business Glossary,Glossaire métier racine pour tous les termes,Published,GLOSS,user-owner-guid-1,user-expert-guid-1,"Corporate Glossary,Business Terms,Term Repository",,,,Business Glossary Guide,https://docs.example.com/glossary,ORGANIZATIONAL,"[""Metadata"",""Governance"",""Business""]","[""Data Governance Framework""]","[""Glossary Platform"",""Metadata Repository""]","[""glossary"",""business"",""terms"",""metadata""]"
Client Premium,Client avec statut premium,Published,CLIP,user-owner-guid-1,user-expert-guid-1;user-expert-guid-2,"Premium Customer,VIP Client,Elite Customer",Business Glossary,"Produit;Commande",CRM Guide;API Documentation,https://crm.example.com/premium;https://api.example.com/premium-clients,PII,"[""Sensitive"",""Customer Data"",""Protected""]","[""GDPR"",""CCPA"",""LGPD""]","[""CRM System"",""Billing Platform"",""Analytics Dashboard""]","[""customer"",""premium"",""vip"",""high-value""]"
Données Financières,Informations financières sensibles,Draft,FIN,user-owner-guid-3,user-expert-guid-2;user-expert-guid-3,"Financial Data,Monetary Information,Accounting Data",Business Glossary,"Transaction;Paiement;Facture",Finance Platform;Audit Guide,https://finance.example.com;https://audit.example.com,FINANCIAL,"[""Confidential"",""Financial"",""Restricted Access""]","[""SOX"",""Basel III"",""IFRS"",""GAAP""]","[""ERP Sistema"",""Treasury Management"",""General Ledger""]","[""finance"",""accounting"",""monetary"",""audit""]"
Produit Médical,Produits et dispositifs médicaux,Published,MED,user-owner-guid-2,user-expert-guid-1;user-expert-guid-3,"Medical Product,Healthcare Device,Clinical Equipment",Business Glossary,"Fournisseur",Medical Device Registry;FDA Guidelines,https://registry.medical.example.com;https://fda.gov/guidelines,HEALTHCARE,"[""Medical"",""Regulated"",""Patient Safety""]","[""FDA 21 CFR Part 11"",""MDR"",""HIPAA"",""ISO 13485""]","[""Inventory Management"",""Quality System"",""Supply Chain""]","[""medical"",""healthcare"",""device"",""clinical""]"
Données Personnelles Employé,Informations RH des employés,Draft,EMPL,user-owner-guid-1,user-expert-guid-2,"Employee Data,HR Information,Personnel Records",Business Glossary,,HRIS System;Payroll Guide,https://hris.example.com;https://payroll.example.com,PII,"[""Highly Sensitive"",""Employee Data"",""Confidential""]","[""GDPR"",""Employment Law"",""Data Protection Act""]","[""HRIS Platform"",""Payroll System"",""Time Tracking""]","[""employee"",""hr"",""personnel"",""payroll""]"
Transaction,Transaction financière de base,Published,TXN,user-owner-guid-3,user-expert-guid-2,"Financial Transaction,Payment,Settlement",Business Glossary,,Transaction Platform,https://transactions.example.com,FINANCIAL,"[""Monetary"",""Financial"",""Transactional""]","[""PCI-DSS"",""SOX"",""Anti-Money Laundering""]","[""Transaction Engine"",""Payment Processor""]","[""transaction"",""payment"",""financial""]"
Transaction Internationale,Transactions avec composante internationale,Published,INTL,user-owner-guid-3,user-expert-guid-1,"International Transaction,Cross-Border Payment,Global TraBusiness Glossary,"Client Premium;Fournisseur",Contract Management;Legal Templates,https://contracts.example.com;https://legal.example.com/templates,LEGAL,"[""Contractual"",""Binding"",""Legal Document""]","[""UCC"",""CISG"",""Commercial Law"",""Contract Law""]","[""CLM System"",""E-Signature Platform"",""Document Repository""]","[""contract"",""commercial"",""legal"",""agreement""]"
Fournisseur,Fournisseur de produits ou services,Published,SUPP,user-owner-guid-2,user-expert-guid-3,"Supplier,Vendor,Provider",Business Glossary,"Produit Médical;Contrat Commercial",Supplier Portal,https://suppliers.example.com,ORGANIZATIONAL,"[""Vendor"",""Supply Chain"",""Procurement""]","[""Supplier Code of Conduct"",""ISO 9001""]","[""Procurement System"",""Vendor Portal""]","[""supplier"",""vendor"",""procurement""]"
Donnée IoT Capteur,Données collectées par capteurs IoT,Published,IOT,user-owner-guid-2,user-expert-guid-1;user-expert-guid-2,"IoT Data,Sensor Data,Telemetry Data",Business Glossary,,IoT Platform;Data Pipeline Doc,https://iot.example.com;https://datapipeline.example.com,TECHNICAL,"[""Real-Time"",""Streaming"",""Time-Series""]","[""ISO 27001"",""IEC 62443"",""NIST Cybersecurity""]","[""IoT Hub"",""Time Series Database"",""Stream Processing""]","[""iot"",""sensor"",""telemetry"",""real-time""]"
Analyse Prédictive,Modèles et analyses prédictives,Draft,PRED,user-owner-guid-3,user-expert-guid-2,"Predictive Analytics,Forecasting,ML Models",Business Glossary,"Données Financières",ML Platform;Analytics Guide,https://ml.example.com;https://analytics.example.com,ANALYTICAL,"[""Machine Learning"",""Predictive"",""Statistical""]","[""Model Governance"",""AI Ethics"",""Algorithmic Transparency""]","[""ML Platform"",""Data Science Workbench"",""BI Platform""]","[""analytics"",""prediction"",""machine-learning"",""forecasting""]"
Inventaire Multi-Sites,Inventaire distribué sur plusieurs sites,Published,INVMS,user-owner-guid-2,user-expert-guid-3,"Multi-Site Inventory,Distributed Stock,Warehouse Network",Business Glossary,"Fournisseur",WMS Documentation;Logistics Guide,https://wms.example.com;https://logistics.example.com,OPERATIONAL,"[""Multi-Location"",""Distributed"",""Supply Chain""]","[""Warehouse Safety"",""Inventory Control"",""ISO 9001""]","[""WMS"",""ERP Module"",""RFID System"",""Barcode Scanner""]","[""inventory"",""warehouse"",""stock"",""multi-site""]"
